Name,Team,Season,Age,G,PA,AB,H,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,maxEV,LA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,GB%,FB%,LD%,Pull%,Cent%,Oppo%,Spd,BaseRunning,UBR,wBsR,Defense,Fielding,Offense
Ronald Acuna Jr.,ATL,2023,25.0,159.0,735.0,643.0,217.0,41.0,0.337480559,0.41632653,0.595645412,1.011971942,0.258164853,0.3378119,0.4275971621763511,0.4611761223779966,171.44872736850394,9.149754130751925,0.114285714,0.108843537,0.15302491,0.55160142,94.70874720982142,121.2,7.408199643493761,0.26786824,0.72804774,0.46189792,0.73781903,0.87822014,0.8311284,0.07780567,0.494661921,0.304270462,0.201067615,0.39679715,0.35587189,0.24733096,7.284336987730482,8.8473009779118,2.200000047683716,6.972665043082088,-7.136484153568745,0.08059262484312057,73.90523902542718
Freddie Freeman,LAD,2023,33.0,161.0,730.0,637.0,211.0,29.0,0.331240188,0.409589041,0.566718995,0.976308036,0.235478807,0.369918699,0.4105788874426924,0.4054639696241259,161.00684644710662,7.6996516695722965,0.165753424,0.098630136,0.11132438,0.42226488,89.98207941955684,110.6,15.179190751445086,0.30082331,0.79180887,0.50999636,0.68842105,0.88038793,0.81539558,0.09401089,0.353166986,0.370441458,0.276391554,0.3646833,0.35700576,0.27831094,5.992156242509748,4.511780210305005,1.4000000953674316,2.660012670326978,-7.287292957305908,4.529694080352783,59.68392841142438
Mookie Betts,LAD,2023,30.0,152.0,693.0,584.0,179.0,39.0,0.306506849,0.408369408,0.578767123,0.987136531,0.272260274,0.316027088,0.4164887061153633,0.40827610181725543,164.96869536137436,7.600221952925952,0.154401154,0.138528138,0.12448133,0.48547718,92.39792693205395,110.1,20.553941908713693,0.2,0.63014899,0.38104021,0.6433121,0.93880389,0.84898354,0.05745856,0.278008298,0.485477178,0.236514522,0.4626556,0.35477178,0.18257261,4.464695626256689,0.7174308486282825,2.299999952316284,-0.007258813828229904,-3.8370983600616455,-1.5634360313415527,56.4945190172821
Shohei Ohtani,LAA,2023,28.0,135.0,599.0,497.0,151.0,44.0,0.303822937,0.412457912,0.653923541,1.066381453,0.350100604,0.341853035,0.43348226798974615,0.427626865010866,180.22090186209738,6.581510688320439,0.238731218,0.151919866,0.19337017,0.53314917,94.3955078125,118.6,13.160112359550562,0.33309659,0.70723684,0.48017241,0.56503198,0.81395349,0.70915619,0.1391155,0.422969187,0.394957983,0.182072829,0.38935574,0.36134454,0.24929972,6.613154487800863,2.4732466684654355,1.6999999284744263,0.3425837503746152,-14.475308418273926,,60.04996934704506
Matt Olson,ATL,2023,29.0,162.0,720.0,608.0,172.0,54.0,0.282894736,0.388888888,0.603618421,0.992507309,0.320723685,0.301790281,0.4127573844756973,0.3957215644943882,161.5003752400049,6.546527510181265,0.231944444,0.144444444,0.16404494,0.55505618,93.7137352195946,118.6,16.09234234234234,0.29465241,0.73464373,0.46845681,0.69509982,0.77703456,0.74585635,0.11886305,0.386516853,0.435955056,0.177528089,0.38202247,0.37303371,0.24494382,3.1347343332786624,0.19109254144132137,2.3000000417232513,-1.248563239350915,-13.874972701072693,-1.6493209600448608,55.04767148402404
Marcus Semien,TEX,2023,32.0,162.0,753.0,670.0,185.0,29.0,0.276119402,0.348404255,0.47761194,0.826016195,0.201492538,0.291044776,0.35423160789809754,0.33481595865885416,127.9111308224011,6.47206200860719,0.146082337,0.095617529,0.06537102,0.36925795,88.3748199246454,108.6,19.04432624113475,0.25339088,0.76975361,0.47052519,0.66180049,0.91169978,0.83371298,0.07815846,0.338053097,0.465486725,0.196460176,0.49380531,0.30442478,0.20176991,5.454743577053959,1.2980992551892996,1.0000001192092896,0.08520266972482204,12.744461059570312,10.333053588867188,26.480955528266943
Corey Seager,TEX,2023,29.0,119.0,536.0,477.0,156.0,33.0,0.327044025,0.389925373,0.622641509,1.012566882,0.295597484,0.339779005,0.4185934797410042,0.4108458488218246,172.52175497709445,6.378798362539317,0.164179104,0.09141791,0.15189873,0.53164557,93.26987737341773,114.4,13.027848101265823,0.33611111,0.85509138,0.55146262,0.55096419,0.89465649,0.77210216,0.1256091,0.4,0.397468354,0.202531645,0.41518987,0.3443038,0.24050633,2.444903895899092,-2.7823444264940917,-4.400000095367432,-0.9852184909395874,1.8961706161499023,-2.24306058883667,43.79402933212852
Juan Soto,SDP,2023,24.0,162.0,708.0,568.0,156.0,35.0,0.274647887,0.410183875,0.519366197,0.929550072,0.24471831,0.29584352,0.39487367174748716,0.40659504622864207,153.66436746647517,6.174906237345546,0.182203389,0.186440677,0.13033708,0.55280899,93.22545276988636,115.3,6.663636363636364,0.19954649,0.60194175,0.35692095,0.67613636,0.89882698,0.82301741,0.06292985,0.510204081,0.324263038,0.165532879,0.38876404,0.40449438,0.20674157,3.475414780047406,-0.8793450859375298,-2.5999999940395355,-1.33617126615718,-8.336028516292572,-0.769157350063324,46.18995390385659
Bobby Witt Jr.,KCR,2023,23.0,158.0,694.0,641.0,177.0,30.0,0.276131045,0.318903318,0.494539781,0.813443099,0.218408736,0.295180722,0.3433004379100193,0.3670822806980299,115.84897306027437,5.900506670293805,0.174351585,0.057636887,0.11531191,0.45557656,90.71638392857143,113.8,15.668571428571429,0.34384858,0.73273543,0.50444444,0.68440367,0.86168911,0.7907489,0.10532151,0.380228136,0.435361216,0.184410646,0.37807183,0.32136106,0.30056711,8.101726260421302,7.58574847644195,4.099999785423279,2.305355829652399,14.740595817565918,9.236481666564941,20.7650737253294
Julio Rodriguez,SEA,2023,22.0,155.0,714.0,654.0,180.0,32.0,0.275229357,0.333333333,0.48470948,0.818042813,0.209480123,0.32962138,0.3474612170356815,0.3416975088998781,128.41796668594927,5.826601917307923,0.245098039,0.06582633,0.11850312,0.51975052,92.66853841145833,116.7,8.49375,0.40972685,0.72970297,0.5384309,0.58861789,0.85074627,0.73150888,0.1441048,0.476091476,0.338877338,0.185031185,0.41995842,0.34303534,0.23700624,5.995101793446776,5.214538394007832,4.4999998807907104,1.9386947737075388,4.555782794952393,2.57818865776062,29.52671214663791
