Name,Team,Season,Age,G,PA,AB,H,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,maxEV,LA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,GB%,FB%,LD%,Pull%,Cent%,Oppo%,Spd,BaseRunning,UBR,wBsR,Defense,Fielding,Offense
Aaron Judge,NYY,2022,30.0,157.0,696.0,570.0,177.0,62.0,0.310526315,0.424855491,0.685964912,1.110820403,0.375438597,0.340236686,0.45819641417238366,0.4680610577146982,206.15483678377262,11.070169144818573,0.251436781,0.159482758,0.26237624,0.61138614,95.77769619360902,118.4,14.87468671679198,0.26845638,0.67620751,0.42532691,0.51666667,0.85185185,0.72168285,0.11837577,0.3725,0.435,0.1925,0.475,0.3175,0.2075,4.036274779678594,1.0445848223753273,0.3999999761581421,1.2427309569902718,-0.775958776473999,3.368988275527954,84.18580036702964
Nolan Arenado,STL,2022,31.0,148.0,620.0,557.0,163.0,30.0,0.292639138,0.358064516,0.533213644,0.89127816,0.240574506,0.289760348,0.38100475536559736,0.3432587910473831,149.23873319731655,7.220130467361455,0.116129032,0.083870967,0.08179959,0.38854806,88.81724845995893,111.4,21.709016393442624,0.360587,0.67964405,0.48369099,0.72093023,0.90834697,0.82253771,0.08583691,0.296523517,0.498977505,0.204498977,0.47852761,0.32515337,0.19631902,2.584047209271021,0.06381531897932291,-0.4000000059604645,-0.7958449488505721,11.930604442954063,11.848872184753418,35.53248717045643
Manny Machado,SDP,2022,29.0,150.0,644.0,578.0,172.0,32.0,0.297577854,0.366459627,0.531141868,0.897601495,0.233564014,0.337349397,0.38163479654946914,0.3450199452108389,151.89197100623315,7.139735005762549,0.206521739,0.097826086,0.098434,0.48993289,91.50782997762863,112.4,16.002237136465325,0.34183322,0.76956522,0.50780261,0.64314516,0.8559322,0.76827243,0.11767187,0.378076062,0.416107382,0.205816554,0.41163311,0.33780761,0.25055928,4.336591448201302,-0.36609858460724354,0.8999998569488525,0.7571237664669752,7.412010490894318,7.072504997253418,38.46077305587407
Jose Altuve,HOU,2022,32.0,141.0,604.0,527.0,158.0,28.0,0.299810246,0.387417218,0.533206831,0.920624049,0.233396585,0.314769975,0.3968867239761986,0.35587635581600846,164.41354359861333,6.868457598574511,0.144039735,0.109271523,0.07709751,0.29705215,85.91212303321679,109.8,16.128205128205128,0.31387363,0.65023474,0.43804159,0.76805252,0.90974729,0.84569733,0.06759099,0.409722222,0.386574074,0.203703703,0.51927438,0.31746032,0.16326531,5.044068353890352,0.35769093269482255,-2.399999976158142,2.519872071687132,2.165105313062668,0.4087044894695282,44.138267183606786
Paul Goldschmidt,STL,2022,34.0,151.0,651.0,561.0,178.0,35.0,0.317290552,0.403697996,0.577540106,0.981238102,0.260249554,0.367609254,0.4193155593526216,0.37200734046959655,175.43467587848605,6.831455955047751,0.216589861,0.121351766,0.11502347,0.47183099,90.71867612293144,112.3,15.739952718676124,0.27627439,0.61690647,0.4165124,0.67653759,0.81778426,0.76266667,0.09885228,0.403301886,0.408018867,0.188679245,0.37735849,0.36320755,0.25943396,3.589410266529605,0.9331258800812066,0.6000001430511475,0.6342701879329979,-15.292560338973999,-3.3458306789398193,57.98873984046412
Freddie Freeman,LAD,2022,32.0,159.0,708.0,612.0,199.0,21.0,0.325163398,0.406779661,0.511437908,0.918217569,0.18627451,0.358870967,0.3925452781305916,0.4059765307934253,157.36182044310345,6.797605709216851,0.144067796,0.118644067,0.09864603,0.47775629,91.30058365758755,112.3,13.572815533980583,0.3131068,0.76108597,0.49291682,0.75,0.87990488,0.83050847,0.08348457,0.386847195,0.338491295,0.274661508,0.36363636,0.33655706,0.29980658,4.802820884407389,1.6672385251149535,2.000000238418579,0.5558102643117309,-8.436750173568726,3.3745205402374268,48.85208531800496
J.T. Realmuto,PHI,2022,31.0,139.0,562.0,504.0,139.0,22.0,0.27579365,0.34163701,0.478174603,0.819811613,0.202380953,0.317934782,0.3539975367340387,0.3538176945277623,128.70202522484274,6.656192602991199,0.211743772,0.072953736,0.11282051,0.47179487,90.28432278277634,110.4,13.105398457583547,0.34957463,0.69222222,0.49019608,0.6659292,0.83948636,0.76651163,0.11445508,0.443589743,0.358974358,0.197435897,0.39230769,0.33589744,0.27179487,6.876876826301913,3.469960887916386,3.0999998450279236,3.2316272454336286,21.873810291290283,12.547107219696045,22.211067153507987
Dansby Swanson,ATL,2022,28.0,162.0,696.0,640.0,177.0,25.0,0.2765625,0.329022988,0.446875,0.775897988,0.1703125,0.347826086,0.3374367519870572,0.34159275850803733,116.77114989445319,6.64397728542472,0.261494252,0.070402298,0.10822511,0.46320346,90.17873847613883,109.6,15.737527114967461,0.31371321,0.74565972,0.49472535,0.57085828,0.80442375,0.71838235,0.1392221,0.387445887,0.4004329,0.212121212,0.3982684,0.35064935,0.25108225,4.796457119995431,3.7290588370524347,3.2000000029802322,0.11195907508954406,22.07356834411621,14.702170372009277,17.29089351711204
Yordan Alvarez,HOU,2022,25.0,135.0,561.0,470.0,144.0,37.0,0.306382978,0.406417112,0.612765957,1.019183069,0.306382979,0.320359281,0.4265703602113586,0.45909157422406704,185.3695676784142,6.357181897813875,0.188948306,0.139037433,0.21024259,0.59838275,95.21675464527027,117.4,12.247978436657682,0.27501853,0.6678487,0.42642369,0.62533693,0.89557522,0.78846154,0.09020501,0.390835579,0.393530997,0.215633423,0.393531,0.39622642,0.21024259,2.967909714898945,-1.9551174533553421,0.699999988079071,-0.8221808564849198,-9.143408417701721,1.5801843404769897,51.937997568416876
Francisco Lindor,NYM,2022,28.0,161.0,706.0,630.0,170.0,26.0,0.269841269,0.338526912,0.449206349,0.787733261,0.17936508,0.30125523,0.34181135130876844,0.3332933233269248,124.49756976678198,6.351168463918259,0.188385269,0.083569405,0.08333333,0.41269841,89.29900709661355,110.7,13.816733067729084,0.33782201,0.68956289,0.47720042,0.66724437,0.88098318,0.78962963,0.10038883,0.43141153,0.389662027,0.178926441,0.43253968,0.32738095,0.24007937,5.594863226668759,1.1998756625689566,1.8999998569488525,0.06774801993742585,14.937891483306885,8.06203556060791,21.29423064187706
